state,frame.time_delta,frame.len,ip.proto,ip.len,ip.ttl,tcp.len,tcp.window_size,tcp.srcport,tcp.dstport,udp.srcport,udp.dstport
1,0.000001,70,6,52,32,0,24616,8944,443,,
1,0.000002,831,6,813,32,761,31856,443,47160,,
1,0.000001,74,6,56,32,0,5792,22784,80,,
1,0,994,6,976,32,924,30408,443,30959,,
1,0,70,6,52,32,0,65535,443,1229,,
1,0.000001,70,6,52,32,0,30408,35142,443,,
1,0.000001,70,6,52,32,0,24616,48851,443,,
1,0.000002,70,6,52,32,0,30408,443,5045,,
1,0.000001,70,6,52,32,0,65535,443,47157,,
1,0.000001,1439,6,1421,32,1369,23168,45858,443,,
1,0.000001,70,6,52,32,0,31856,2890,443,,
1,0,70,6,52,32,0,31856,22820,443,,
1,0.000002,70,6,52,32,0,23168,443,31456,,
1,0,70,6,52,32,0,28960,443,16414,,
1,0.000002,1284,6,1266,32,1214,23168,443,37932,,
1,0.000001,831,6,813,32,761,31856,443,62142,,
1,0.000001,70,6,52,32,0,8688,7269,80,,
1,0.000001,70,6,52,32,0,65535,23011,443,,
1,0.000003,70,6,52,32,0,8688,16141,80,,
1,0,831,6,813,32,761,31856,443,17135,,
1,0,70,6,52,32,0,30408,443,60962,,
1,0.000001,70,6,52,32,0,23168,443,9615,,
1,0.000004,70,6,52,32,0,30408,443,41134,,
1,0.000002,70,6,52,32,0,65535,443,30961,,
1,0.000001,70,6,52,32,0,65535,10734,443,,
1,0.000001,993,6,975,32,923,30408,443,10569,,
1,0,470,6,452,32,400,65535,443,58202,,
1,0.000001,70,6,52,32,0,65535,443,23011,,
1,0.000002,70,6,52,32,0,23168,443,48851,,
1,0.000002,1284,6,1266,32,1214,23168,443,61601,,
1,0.000001,470,6,452,32,400,65535,443,63790,,
1,0.000001,1095,6,1077,32,1025,65535,443,25573,,
1,0.000001,70,6,52,32,0,23168,443,1870,,
1,0.000001,1439,6,1421,32,1369,23168,27953,443,,
1,0.000001,70,6,52,32,0,65535,35203,443,,
1,0,878,6,860,32,808,65535,18496,443,,
1,-0.000001,1475,6,1457,32,1405,30408,443,48951,,
1,0.000002,70,6,52,32,0,23168,443,45858,,
1,0,70,6,52,32,0,7240,80,63254,,
1,0.000002,70,6,52,32,0,23168,443,9295,,
1,-0.000001,1439,6,1421,32,1369,23168,54860,443,,
1,0.000001,70,6,52,32,0,8688,30231,80,,
1,0,70,6,52,32,0,7240,80,3112,,
1,0,70,6,52,32,0,65535,60318,443,,
1,0.000001,74,6,56,32,0,5792,80,22784,,
1,0,70,6,52,32,0,7240,80,7269,,
1,0,70,6,52,32,0,24616,37932,443,,
1,0.000002,70,6,52,32,0,65535,443,63735,,
1,0.000001,70,6,52,32,0,7240,80,24048,,
1,0,70,6,52,32,0,65535,25234,443,,
1,0.000003,70,6,52,32,0,31856,443,60741,,
1,0,70,6,52,32,0,65535,443,22247,,
1,0.000001,70,6,52,32,0,31856,47160,443,,
1,0.000001,993,6,975,32,923,30408,443,34815,,
1,0.000001,70,6,52,32,0,31856,62142,443,,
1,0.000001,70,6,52,32,0,5792,31516,80,,
1,0,70,6,52,32,0,7240,80,58331,,
1,0.000001,70,6,52,32,0,65535,58202,443,,
1,0.000001,70,6,52,32,0,7240,80,38587,,
1,0.000002,831,6,813,32,761,31856,443,12742,,
1,0.000001,74,6,56,32,0,5792,80,22249,,
1,0,70,6,52,32,0,31856,443,7356,,
1,0.000001,1439,6,1421,32,1369,23168,59703,443,,
1,0.000001,70,6,52,32,0,30408,30959,443,,
1,0.000001,70,6,52,32,0,65535,63790,443,,
1,0.000001,74,6,56,32,0,5792,54430,80,,
1,0,70,6,52,32,0,7240,80,16141,,
1,0,70,6,52,32,0,24616,9295,443,,
1,0,70,6,52,32,0,65535,443,60318,,
1,0.000001,70,6,52,32,0,65535,443,35203,,
1,0.000001,70,6,52,32,0,23168,443,45567,,
1,0.000002,1518,6,1500,32,1448,7240,80,57266,,
1,0.000002,167,6,149,32,97,7240,80,57266,,
1,0,70,6,52,32,0,23168,443,54441,,
1,0.000002,70,6,52,32,0,31856,443,61624,,
1,-0.000001,1456,6,1438,32,1386,30408,4601,443,,
1,0.000002,70,6,52,32,0,23168,443,54860,,
1,-0.000001,1439,6,1421,32,1369,23168,38612,443,,
1,0.000001,70,6,52,32,0,30408,10569,443,,
1,0,70,6,52,32,0,5792,22784,80,,
1,0.000001,70,6,52,32,0,65535,443,31902,,
1,0,70,6,52,32,0,31856,60741,443,,
1,0.000003,74,6,56,32,0,5792,62582,80,,
1,-0.000001,1518,6,1500,32,1448,7240,80,8201,,
1,0.000002,167,6,149,32,97,7240,80,8201,,
1,0.000002,70,6,52,32,0,24616,61601,443,,
1,0.000002,1284,6,1266,32,1214,23168,443,56696,,
1,0.000001,74,6,56,32,0,5792,80,54430,,
1,0.000001,70,6,52,32,0,8688,3112,80,,
1,0.000002,70,6,52,32,0,23168,443,9295,,
1,0.000002,1518,6,1500,32,1448,7240,80,51725,,
1,0.000001,1439,6,1421,32,1369,23168,58734,443,,
1,0.000001,70,6,52,32,0,8688,16141,80,,
1,0,831,6,813,32,761,31856,443,41563,,
1,0,167,6,149,32,97,7240,80,51725,,
1,0.000001,878,6,860,32,808,65535,49798,443,,
1,0.000003,254,6,236,32,184,65535,1983,443,,
1,0,70,6,52,32,0,65535,31902,443,,
1,0.000002,70,6,52,32,0,31856,12742,443,,
1,0.000013,70,6,52,32,0,31856,443,4601,,
1,0.000002,831,6,813,32,761,31856,443,64591,,
1,0.000001,70,6,52,32,0,23168,443,5523,,
1,0.000001,70,6,52,32,0,5792,22249,80,,
1,0.000001,70,6,52,32,0,23168,443,38612,,
1,0.000003,70,6,52,32,0,65535,443,56289,,
1,0,1456,6,1438,32,1386,30408,6151,443,,
1,0.000003,470,6,452,32,400,65535,443,20415,,
1,0.000001,70,6,52,32,0,7240,80,3112,,
1,0.000001,70,6,52,32,0,8688,8201,80,,
1,0,70,6,52,32,0,31856,443,9411,,
1,0.000002,70,6,52,32,0,5792,25789,80,,
1,0.000005,1456,6,1438,32,1386,30408,21196,443,,
1,0.000002,1284,6,1266,32,1214,23168,443,64163,,
1,0.000001,70,6,52,32,0,7240,80,61695,,
1,-0.000001,1456,6,1438,32,1386,30408,23307,443,,
1,0.000004,70,6,52,32,0,23168,443,49466,,
1,0.000001,470,6,452,32,400,65535,443,8315,,
1,0.000002,70,6,52,32,0,31856,9411,443,,
1,0.000003,70,6,52,32,0,24616,32285,443,,
1,0,906,6,888,32,836,65535,443,33847,,
1,0.000004,1518,6,1500,32,1448,7240,80,30457,,
1,0.000001,167,6,149,32,97,7240,80,30457,,
1,0.000001,878,6,860,32,808,65535,21112,443,,
1,0.000003,70,6,52,32,0,65535,25573,443,,
1,0.000001,1475,6,1457,32,1405,30408,443,62898,,
1,0.000006,831,6,813,32,761,31856,443,58421,,
1,0.000001,70,6,52,32,0,31856,443,9411,,
1,-0.000001,1298,6,1280,32,1228,5792,37081,80,,
1,0.000002,1284,6,1266,32,1214,23168,443,1089,,
1,0.000001,1475,6,1457,32,1405,30408,443,41168,,
1,0.000002,70,6,52,32,0,31856,443,21196,,
1,-0.000001,1456,6,1438,32,1386,30408,23129,443,,
1,0.000002,70,6,52,32,0,31856,443,52427,,
1,0.000001,70,6,52,32,0,23168,443,32285,,
1,0.000001,70,6,52,32,0,23168,443,43890,,
1,0.000003,70,6,52,32,0,7240,80,50871,,
1,0.000001,70,6,52,32,0,65535,443,40732,,
1,0.000001,70,6,52,32,0,31856,443,60741,,
1,0,1456,6,1438,32,1386,30408,38571,443,,
1,0.000001,1298,6,1280,32,1228,5792,22249,80,,
1,0.000001,878,6,860,32,808,65535,9858,443,,
1,0.000002,70,6,52,32,0,65535,443,1836,,
1,0.000003,1298,6,1280,32,1228,5792,54930,80,,
1,0.000001,74,6,56,32,0,5792,80,62582,,
1,0.000001,1456,6,1438,32,1386,30408,26231,443,,
1,0.000001,70,6,52,32,0,8688,57266,80,,
1,0.000002,70,6,52,32,0,23168,443,31311,,
1,0,1298,6,1280,32,1228,5792,31516,80,,
1,0.000001,74,6,56,32,0,5792,32259,80,,
1,0.000002,1475,6,1457,32,1405,27512,57406,443,,
1,0.000001,1284,6,1266,32,1214,23168,443,2017,,
1,0,1298,6,1280,32,1228,5792,25789,80,,
1,0.000001,70,6,52,32,0,65535,20415,443,,
1,0,70,6,52,32,0,31856,17135,443,,
1,0.000002,70,6,52,32,0,23168,443,58734,,
1,0.000002,70,6,52,32,0,31856,61405,443,,
1,0,70,6,52,32,0,24616,64163,443,,
1,0.000001,831,6,813,32,761,31856,443,37031,,
1,0.000001,70,6,52,32,0,7240,80,22249,,
1,0.000001,70,6,52,32,0,30408,443,32279,,
1,0.000001,70,6,52,32,0,31856,35457,443,,
1,0.000002,70,6,52,32,0,28960,48951,443,,
1,0,70,6,52,32,0,65535,33847,443,,
1,0.000002,1284,6,1266,32,1214,23168,443,23246,,
1,0.000001,70,6,52,32,0,7240,80,31516,,
1,0,1439,6,1421,32,1369,23168,22332,443,,
1,0.000002,70,6,52,32,0,65535,8315,443,,
1,0,70,6,52,32,0,31856,48451,443,,
1,0,70,6,52,32,0,31856,58421,443,,
1,0,70,6,52,32,0,8688,24048,80,,
1,0,70,6,52,32,0,65535,38008,443,,
1,0.000002,70,6,52,32,0,31856,443,38571,,
1,0,70,6,52,32,0,31856,7356,443,,
1,0,70,6,52,32,0,24616,50835,443,,
1,0.000001,70,6,52,32,0,5792,62582,80,,
1,0,70,6,52,32,0,23168,443,27953,,
1,0.000001,70,6,52,32,0,65535,443,10734,,
1,0.000002,70,6,52,32,0,8688,38163,80,,
1,0.000001,70,6,52,32,0,24616,2017,443,,
1,0,70,6,52,32,0,65535,443,25234,,
